"Date","Price","Open","High","Low","Change %"
"Oct 17","2.857","2.865","2.902","2.842","-0.32"
"Sep 17","2.866","2.731","2.904","2.636","5.10"
"Aug 17","2.727","2.905","2.930","2.687","-6.00"
"Jul 17","2.901","2.849","2.946","2.796","2.36"
"Jun 17","2.834","2.868","2.893","2.682","-1.12"
"May 17","2.866","2.951","3.059","2.856","-3.11"
"Apr 17","2.958","3.015","3.035","2.824","-1.79"
"Mar 17","3.012","3.007","3.215","2.960","0.47"
"Feb 17","2.998","3.065","3.127","2.945","-2.35"
"Jan 17","3.070","3.054","3.131","2.902","0.23"
"Dec 16","3.063","3.048","3.215","3.008","0.62"
"Nov 16","3.044","2.592","3.091","2.522","17.98"
"","","","","",""
"","Highest:3.215","Lowest:2.522","Difference:0.693","Average:2.933","Change %:10.733"
