"Date","Price","Open","High","Low","Change %"
"Oct 17","1.214","1.201","1.216","1.193","1.49"
"Sep 17","1.196","1.080","1.232","1.073","10.95"
"Aug 17","1.078","1.145","1.175","1.070","-5.60"
"Jul 17","1.142","1.142","1.186","1.104","-0.44"
"Jun 17","1.147","1.081","1.204","1.050","6.90"
"May 17","1.073","0.978","1.091","0.975","9.38"
"Apr 17","0.981","0.901","1.022","0.896","8.52"
"Mar 17","0.904","0.766","0.942","0.740","28.77"
"Feb 17","0.702","0.641","0.965","0.605","9.52"
"Jan 17","0.641","0.641","0.819","0.580","3.39"
"Dec 16","0.620","0.613","0.804","0.597","1.64"
"Nov 16","0.610","0.511","0.722","0.503","21.76"
"","","","","",""
"","Highest:1.232","Lowest:0.503","Difference:0.729","Average:0.942","Change %:142.275"
